,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2019",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,"Copyright © 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2019). International Migrant Stock 2019 (United Nations database, POP/DB/MIG/Stock/Rev.2019).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,,,,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2019,,,,,,,,
137,Malaysia,12,458,C R,41.7,42.9,43.8,40.9,39.2,39.2,38.9,,,,,,,,
138,Myanmar,,104,C,45.9,45.9,46.8,46.4,45.6,45.2,45.2,,,,,,,,
139,Philippines,,608,C R,47.2,48.1,49.1,48.3,48.3,48.2,48.2,,,,,,,,
140,Singapore,,702,B,52.4,54.0,55.5,55.6,55.8,55.9,55.9,,,,,,,,
141,Thailand,,764,B R,46.4,47.4,48.5,49.8,49.6,49.8,49.8,,,,,,,,
142,Timor-Leste,,626,B,50.3,51.1,51.9,50.6,49.4,39.6,39.6,,,,,,,,
143,Viet Nam,,704,C R,45.8,45.0,42.2,39.9,41.8,42.1,42.1,,,,,,,,
144,LATIN AMERICA AND THE CARIBBEAN,,1830,,49.8,50.0,50.1,50.3,50.3,50.0,49.9,,,,,,,,
145,Caribbean,,915,,48.0,48.4,48.7,48.8,48.9,46.6,46.5,,,,,,,,
146,Anguilla,,660,B,51.1,52.2,53.0,52.8,52.7,52.6,52.6,,,,,,,,
147,Antigua and Barbuda,,28,B,52.0,54.2,55.3,55.3,55.4,55.4,55.4,,,,,,,,
148,Aruba,,533,B,55.5,55.2,55.1,55.3,55.4,55.4,55.4,,,,,,,,
149,Bahamas,,44,B,48.5,47.5,46.7,48.1,49.1,49.4,49.4,,,,,,,,
150,Barbados,,52,B,58.1,57.2,56.4,55.7,55.1,55.1,55.1,,,,,,,,
151,British Virgin Islands,,92,B,48.6,49.9,50.7,50.7,50.7,50.7,50.7,,,,,,,,
152,"Bonaire, Sint Eustatius and Saba",13,535,B,55.1,55.4,55.7,55.0,51.7,51.6,51.6,,,,,,,,
153,Cayman Islands,,136,C,50.8,50.0,49.6,49.2,48.8,48.8,48.8,,,,,,,,
154,Cuba,,192,B,50.0,52.0,56.0,56.0,56.3,56.8,57.1,,,,,,,,
155,Curaçao,,531,B,..,..,..,..,59.0,58.9,58.9,,,,,,,,
156,Dominica,,212,B,48.0,48.0,47.5,47.5,48.2,47.9,47.9,,,,,,,,
157,Dominican Republic,,214,B,37.6,38.5,39.3,39.3,39.4,35.7,35.7,,,,,,,,
158,Grenada,,308,B,50.6,50.5,50.4,50.4,50.4,50.4,50.4,,,,,,,,
159,Guadeloupe,14,312,B,50.4,51.4,52.2,53.7,55.0,55.5,55.5,,,,,,,,
160,Haiti,,332,B,44.4,44.4,44.4,44.4,44.4,44.4,44.4,,,,,,,,
161,Jamaica,,388,B,51.3,50.5,49.9,49.6,49.2,49.2,49.2,,,,,,,,
162,Martinique,,474,B,50.7,52.2,53.3,54.6,55.8,56.3,56.3,,,,,,,,
163,Montserrat,,500,B,48.9,48.8,48.6,48.6,48.6,48.5,48.4,,,,,,,,
164,Puerto Rico,,630,B,52.4,52.5,52.5,52.6,53.1,53.3,53.5,,,,,,,,
165,Saint Kitts and Nevis,,659,B,48.8,48.3,47.7,47.6,47.5,47.4,47.4,,,,,,,,
166,Saint Lucia,,662,B,50.7,50.2,49.8,50.8,51.6,51.8,52.0,,,,,,,,
167,Saint Vincent and the Grenadines,,670,B,51.4,51.4,51.3,50.5,49.6,49.2,48.9,,,,,,,,
168,Sint Maarten (Dutch part),,534,B,..,..,..,52.0,52.0,52.1,52.1,,,,,,,,
169,Trinidad and Tobago,,780,B,53.6,53.7,53.8,53.9,52.0,51.1,50.9,,,,,,,,
170,Turks and Caicos Islands,,796,B,48.2,48.2,48.3,48.3,48.3,48.3,48.3,,,,,,,,
171,United States Virgin Islands,,850,B,52.2,52.5,52.8,52.8,52.9,52.9,52.9,,,,,,,,
172,Central America,,916,,50.6,50.5,49.9,50.1,50.0,50.3,50.3,,,,,,,,
173,Belize,,84,B R ,46.1,47.6,48.9,49.2,49.4,49.7,49.7,,,,,,,,
174,Costa Rica,,188,B R,49.2,49.4,49.6,50.8,51.7,52.0,51.7,,,,,,,,
175,El Salvador,,222,B R,53.1,53.0,53.0,52.7,52.5,52.4,52.4,,,,,,,,
176,Guatemala,,320,B R,57.4,57.2,55.9,54.5,53.4,52.6,52.6,,,,,,,,
177,Honduras,,340,B R,49.1,49.1,48.8,48.2,47.6,47.5,47.5,,,,,,,,
178,Mexico,,484,B R,49.9,49.9,49.7,49.5,49.4,49.9,49.9,,,,,,,,
179,Nicaragua,,558,B R,49.6,49.8,49.2,49.1,48.8,48.5,48.5,,,,,,,,
180,Panama,,591,B,47.2,48.1,49.1,49.1,48.6,48.7,49.0,,,,,,,,
181,South America,,931,,49.9,50.3,50.6,50.8,50.8,50.7,50.5,,,,,,,,
182,Argentina,,32,B,52.2,52.8,53.4,53.7,53.9,54.0,54.0,,,,,,,,
183,Bolivia (Plurinational State of),,68,B,49.1,48.8,48.6,48.0,47.6,47.6,47.6,,,,,,,,
184,Brazil,,76,B,46.6,46.6,46.5,46.3,46.0,46.0,46.0,,,,,,,,
185,Chile,,152,B,49.3,51.1,52.2,52.4,52.6,52.9,52.9,,,,,,,,
186,Colombia,,170,B,49.1,48.9,48.7,48.2,47.2,46.7,49.6,,,,,,,,
187,Ecuador,,218,B R,51.0,49.7,49.0,48.7,48.4,48.3,48.3,,,,,,,,
188,Falkland Islands (Malvinas),15,238,B,42.9,41.2,40.4,42.1,43.8,44.4,44.4,,,,,,,,
189,French Guiana,,254,B,45.2,47.4,49.3,50.6,51.6,52.5,52.5,,,,,,,,
190,Guyana,,328,B,46.3,46.4,46.4,46.5,46.5,46.5,46.5,,,,,,,,
191,Paraguay,,600,B,47.5,47.5,47.9,47.9,48.0,48.0,48.0,,,,,,,,
192,Peru,,604,B,49.9,50.5,50.5,50.0,46.4,41.1,45.8,,,,,,,,
193,Suriname,,740,C,46.0,45.8,45.7,45.5,45.5,45.4,45.3,,,,,,,,
194,Uruguay,,858,B,53.3,53.5,53.8,54.3,54.7,54.8,54.6,,,,,,,,
195,Venezuela (Bolivarian Republic of),,862,B,49.5,49.7,49.8,50.0,49.8,49.9,50.1,,,,,,,,
196,OCEANIA,,909,,48.9,49.5,50.1,50.4,50.3,50.4,50.4,,,,,,,,
197,Australia / New Zealand,,927,,49.2,49.8,50.3,50.6,50.5,50.5,50.6,,,,,,,,
198,Australia,16,36,B,49.1,49.6,50.1,50.4,50.3,50.3,50.4,,,,,,,,
199,New Zealand,,554,B,50.2,50.9,51.4,51.5,51.5,51.6,51.6,,,,,,,,
200,Melanesia,,928,,44.4,44.1,44.4,44.6,44.4,45.2,45.3,,,,,,,,
201,Fiji,,242,B,48.5,48.3,48.1,47.2,46.5,46.0,46.0,,,,,,,,
202,New Caledonia,,540,B,44.6,45.2,45.8,46.0,46.2,47.5,47.6,,,,,,,,
203,Papua New Guinea,,598,C R,42.6,40.8,39.7,40.5,39.3,39.5,39.3,,,,,,,,
204,Solomon Islands,,90,B,44.4,44.3,44.1,44.1,44.0,43.9,43.9,,,,,,,,
205,Vanuatu,,548,B,45.0,47.4,49.7,50.1,50.3,50.3,50.3,,,,,,,,
206,Micronesia,,954,,44.2,46.9,50.1,50.3,49.6,49.4,49.5,,,,,,,,
